1,"This app is so bright it hurts. You're trying to read, write and relax, but the blank color scheme reminds me more of the sun hitting my face at 6am than of me relaxing while browsing.  This app doesn't have some sort of front page like imgur has for example, instead all we get is the ""discover"" feature which only promotes bland, vague and uninteresting posts with no personality. Just look at it right now! Where are the people sharing relatable stories, or video game strategies, or book or tv show reviews or something? All the posts featured there are just... unattractive, to say the least. And it's the only source of new content there is, otherwise you have to look it up manually.  There are no set categories or tags, instead you make them up and unless people type them up exactly like you did they won't see your post, which is counterintuitive and discourages finding new posts or bloggers.  People can disapprove or even edit your comments. That is twisted, discourages freedom of speech and opinion sharing and even allows people to literally put words in your mouth by changing your original comment to whatever they want.  You can't dislike posts or comments, so the voting system is pointless. You might think otherwise because Twitter and Vine have no downvotes,  but they promote discovery of new content in various ways, while WordPress does not.  The search bar doesn't work. I've tried finding my own posts with the exact same title they have and they don't appear.  All of these factors make it feel deserted and lacking of a community, and discourage new users of getting into writing or reading on WordPress. Also there used to be a eay to add a black outline to images; a necessity when the background is white.",,,,,,,,
2,"Change the profile pic from the app was successful,new pic applied in WordPress web based,but in the blog owner comment reply list the blog owner gravatar still using the old previous profile pic,I wish there will be select all in Comment menu so user can select all spam comment n delete at once.Why if we change public name it doesnt change all the previous public name in older comments with new one!?the Reader tab have issue it still showing me content from blog site i have unfollow for months!",,,,,,,,
3,"The only use for this app over google is it shows trails and jungle footpaths. After that its 'EFFING USELESS. The pointer spins constantly so you cant tell which way you're facing. It points 180 degrees out and the blue dotted line follows you, ie it can send you back the way you came and not leave your start point blank....so you still think youre going the right way as youre always attached to the dotted line. It should let the pointer move away from the dotted line, then you can see youre off course. If you brush the screen it opens a new dropped pin which then deletes the path you were following. I cant bookmark anything. Theres paths highlighted in red that i didnt add, it constantly directs you to road routes even tho i only want mountain footpaths and have it set to walking. It does work offline for me which is 1 reason not to boot it just yet but its useless to navigate with, i use it just to look for trails. Thankfully im not getting ads cos thailand auto blocks anything that isnt of profit directly to them. You need to disable the info sharing, apparently this app sells info on you 20 times more than other apps",,,,,,,,
4,"Voice guidance is awful: says keep right/left where I have to go straight, doesn't say exit numbers, doesn't say street names. Search is poor: shows the list, but how do I check these places on the map. I click the place and it shows my current location with the option to route to, but sometimes it shows the destination, go figure! No alternative routes, not optimal route, it can give the route which includes traffic lights, a couple of left turns instead of short residential road and right turn",,,,,,,,
5,"Problems, Problems, Problems! ------------ First when I installed the app & got some maps, they would disappear from the phone after each re-boot. So, I wrote to the developer. No reply after a month, I wrote back. No reply after two weeks. ------------- Next I uninstalled & re-installed the app (for the 12th time trying to fix the vanishing maps problem). Now the place in Settings to tell the app where to store the maps is gone. Gone! (The SD is 32 GB and has 31 GB free) I wrote the developer. After a week- no reply. ---------- Uninstall Warning: Each time I uninstalled the app., a large folder (Over 1 GB on mine) was left behind on the phone. One must use a file manager to delete it. --------- I Give Up (Which is too bad because this app is easy to use.) UPDATE- As shown below, the someone from the developer company posted suggestions. I had already tried (multiple times) what is suggested in the links the person posted. I also had already sent e-mails to the address shown. I will try one more time to contact them (because it looks like a fun & easy app). If no luck, I'll have to conclude that my phone and this app just won't play well together. UPDATE- Developer replied to this review and asked me for the name I used to contact them. I won't post my e-mail here. (That's not a comfortable thing to do.) I sent a new e-maill to them. I will update the review & star rating when (if) they reply & tell me how to make this application work.",,,,,,,,
6,"Its good, very useful for walking/hiking. Which OSM is very good for. Could  be better with search results for Car Navigation. OSM doesn't really  support proper Address searching so relying solely on this isn't possible.  I have to go back to Google to find actual full addresses. What I would  like to see changed is; - when searching the results show the downloaded  Map Name which can be confusing as it doesn't match the location of the  address. (please remove this) - would be nice to have other map  overlays/textures to choose from. (like osm where it shows house numbers!)  - Ability to sort bookmarks by Name rather than just when they were added.  (also when searching to show bookmarks in results) - Transport information  Trains / Bus times currently not available for the UK.",,,,,,,,
7,"I almost rated this for stars. It's a nice, useful app with some gaps--I really like the basic idea and the maps themselves are accurate and occasionally have nice details (for example, airport gate numbers).  There are some major gaps in searching for foods, shopping, etc., though. Primarily this is just in not having locations. For example, in one city in Japan I did a search for food and it came up with maybe 3 or 4 places when I was aware of dozens close by.  Since it pretty quickly looks for options further away, I was getting results up to fifty miles away (in Japan, traveling fifty miles can take several hours).  It also missed the biggest shopping center in the area.  Still, it's handy for knowing where you are and had the ability to download sections of the world's you're interested in.the interface is also easy to navigate and it came up with Japanese city names easily even though I was using English letters.  Train stations are well-marked and it's pretty easy to follow along with your reason trip to know how much further you need to go and where to get off (note that the routing itself i s by driving rather than public transport, which would have been a nice feature, but that you can simply see where the tracks are).",,,,,,,,
8,"Too many ads. Even more than Google Maps. At least most of the features work in a general sense; just not in my area.  EDIT: I understand that advertising is a resource that allows for development to continue, but you must understand the current default implementation makes any features very unappealing and the entire experience unenjoyable. I uninstalled imediately after the second push ad. Push ads are unacceptable in any form.  I am aware you can opt out of most advertising by going to settings and switching off ""Show offers"", but there's no garuntee your app will stop giving other unwanted push notifications, such as the one asking if the user is aware of the bookmarking feature. DO NOT engage the user outside of the app unless it is for a currently requested function or feature they are actively using, such as continuing navigation while in the background. There are better ways to let users know of features. For example, highlight the area you want to be noticed and give a brief message when the app is launched. This is more benificial for you as well, because a user is more likely to follow through when they have already chosen to engage with the app, as opposed to you trying to pull them away from whatever else they may be doing.",,,,,,,,
9,"I wanted to like this app. I'm looking for an alternative to google maps. The routing is actually ok, although the estimated timings don't take traffic conditions into account. The offline operation is good, but there isn't really an 'online' mode. If I currently have a good connection I want to be able to search a new area without having to download the section first. But what has killed it for me is that the search is useless. There us no UK postcode search, which is what I primarily use. Searching by street name sometimes works, but often comes up empty. Conversely when there are multiple matches adding extra location details (borough, etc) doesn't narrow the search effectively. As far as i can tell it treats each term entered separately and at some point if you haven't chosen one of the matches for your first term and keep typing it switches to searching on the second term, ignoring the first. I only managed to experience the navigation by finding places on Google maps, and then matching the street pattern and zooming to find them manually in this. I gather it works better in some countries than others, so I'll probably try it again sometime, but for now I'm giving up.",,,,,,,,
10,"The app is pretty handcuffed when compared with the web editor. The app lacks easy linking to already published posts, a way to copy a previous post, and the mouse support on Android is terrible - formatting buttons and most dialog boxes don't respond to mouse clicks at all. Basic interaction with the admin side, such as comment moderation and stats are fine, but for actually creating and publishing content, the app is very much a second class citizen compared to the web editor. Full integration of the web editor capabilities would make for a much better experience.",,,,,,,,
11,"This app becomes more and more idiotic. Stats are badly organized, slow and do not give relevant data. Posting and editing tools are worthless. This last stupid update is enough for me. Uninstall. Edit: I used this app for stats, and implementing ""Insights"" was bad! Loading is slow and with the last update you cannot view individual posts. New Wordpress post editor in a browser lacks a lot options, in app even more: options missing concerning pictures, buttons for formatting hidden... 500 limit",,,,,,,,
12,"What happened to the full editor??!!! Went to create a blog post today using my WordPress app and discovered that the editor is some weird, useless version of what it was before. I can't do anything in it like I can in the web based editor such as indent, center, size/place images, etc....literally every major function but basic typing is gone. Where did it go and how do I get it back? If this is not fixed I am uninstalling the app as it is totally useless to me without the full version of the editor. As well, the web based editor crashes EVERY SINGLE TIME I do an update to a blog. Makes editing virtually impossible. - - - I received an automated response to this review which said, ""You can switch back to the app's old editor: Go to App Settings in the app and toggle off the 'Show Visual Editor' option. However, some of the features you mentioned (such as indenting or aligning text) weren't part of the old editor, either."" - - - Found the setting. That leaves ONLY the HTML editor and does not fix the problem...at all. And, previously, before this change, the editor in my app and the web based editor were identical in their features.",,,,,,,,
13,"Inferior in every possible way to using the online editor. This app doesn't allow you to link to your own earlier posts, crashes often, can sometimes delet your whole draft even unsave a previously update and saved page, and has issues previewing images. It also cannot pull the most recent version of you updates which you created with the web editor. Woe be unto you if you mak long pots, because after a certain size copy/paste stop working and the editor gets so slow you have to wait for the displayed text to catch up to you. What it does do well is present your stats page, manage the site permissions and let you get a rough draft started. Though it has so many problems I'm just using the MS Office apps for my rough drafts and then copy/pasting into the web interface. I'll probably uninstall this soon because it is basically horrible.",,,,,,,,
14,"Adds have been added in one of the never versions, don't update if you haven't already! It's a good app, but it's NOT a universal map. It works best if you find your destination address with a browser, as the names in OSM don't always match. Due to size limits, searching by street numbers is not possible and this severely limits your options. The app goes nuts if your GPS is broken, and you can't just follow the route by moving the map with fingers, as popups keep reappearing. Maps.me is best if you just move to points you know in advance, using the best in class bookmark system",,,,,,,,
15,"Gallery creation/modification missing, Nexus 4 video upload doesn't work	On the whole, the UI is clear and nicely built, but two basics things I use most are missing/not working: - Creating a gallery necessitates first googling the workaround in their support forums (i.e. (1) attach multiple photos, (2) save as draft; this uploads images and links them to this post, (3) edit post replacing all code with just [gallery]; this uses all linked images (4) publish) - editing a gallery is impossible (just recreate using workaround) - uploading videos on my device doesn't work (invalid file type error), nor does the ""quick video"" function (can not retrieve media)",,,,,,,,
16,"Not as integrative as I would hope Three things plague this app for me. 1-You cannot upload on the featured image button, you have to do that on the main screen of the site. 2-You cannot get the edit post link through the app, have to log into dashboard on a browser. I need these links to submit post to my editor through Slack or Trello. 3-There is no word count visible. I need that since the sites I write for have a minimum word count. All three of these would make this a five star app for me, else it is useless for me and I might as well just write through the browser.",,,,,,,,
17,"It's worse sorry Since the last update I can't use my regular photo viewer to choose pictures from my post. I now have a list of images that seem to come from my tablet but not it's sd card; where all my images are. I have around 30,000 images in various picture folders (I am travelling and have a 128GB sd card in my tablet where my images are stored)  and this update to 3.9 has made choosing images impossible.  I have two possible workarounds. Either I upload the images to google or similar and put a link in the post to them. Or my second option is to upload the images in the WordPress app through the media menu item and then choose these images I want in the post using your new chooser interface.  Honestly I see what you are trying to do with the new interface but it does limit the user as to how they choose their images. Handing this task over to the operating system, as it was before, makes more sense and makes your app lighter.  Please switch back to the normal way of adding images. Updating posts on tablets and phones has been great with the WordPress app and I feel it's just been made more difficult with this update.",,,,,,,,
18,"The schedule is terrible. Going to event details and back resets your scrolling position. There are way too many events for this simple list representation and filtering doesn't help much. Search is a joke when you try to find a session because there are many of them with the same name and you have to go to details to see the time, the list is not sorted by time either. Shuttle bus schedule is missing from the app so you have to go to the web version to see it.",,,,,,,,
19,"I want to give it more stars because the site layout is nice and efficient, but editing posts is awful. The lag is absolutely unbearable. Trying to add a couple of characters takes 5-10 seconds to show up on screen. I've written part of a sentence and it's taken 30+ seconds to post them. Deleting them is even worse! I'm not even a fast typer on the text keyboard. It would be faster to handwrite everything at this point. Stick to the browser version for editing if this is why you want the app.",,,,,,,,
20,"Routes are unstable. While following proposed route I was requested to turn back and follow a new route.  Missing ""do not download"" option in map diwnload dialog window. Unable to configure localisation of the map directory. Menu bar disappears at random? Navigation proposes routes violating the law and mistakes public roads with field roads.  After update navigation is much worse. No perspective view despite it is enabled in settings. Calculating a route is slow, arrival estimation changed from optimistic (below 4h) to pessimistic (over 8h) for a route Krapkowice-Warszawa (Poland, realistic estimate ca 5h). Rerouting freezes very often.  Figured out how to enable perspective view. I had to disable it, close the app, reopen the app and enable it. I fear of other bugs.",,,,,,,,
21,"Useful but to be improved. 1) it's missing a search field.  2) no multi select and upload of multiple images from a single folder, it's either messy all together or one by one. 3) I lost the whole text and images of a new post because of an internet connection error, this should not happen no matter how bad the connection is, offline editing is what users expect from an application vs the web-admin! 4) post settings button is hidden when keyboard is open 5) can't edit site url 6) can't batch upload local charges",,,,,,,,
22,"This app has gone downhill. Now that Google maps supports offline maps there is absolutely no reason to use this app. It still causes my device to restart. No other app makes my phone restart, only this one. It uses a dodgy background process that makes my phone restart even after I finish using app. They need to add a ""exit"" button to properly close the app. It keeps running services in background even when I force quit the app via task manager. It crams a lot of junk and annoyances in the app. I don't want business names or the ability to rate or share or whatever other junk they force in there. Let me turn all the junk off so I can use the map like a map. Stop asking me to turn on location settings. I use offline maps and not interested in going online and ""writing a review"" of map locations.",,,,,,,,
23,"I was really excited about this app when I first started planning a road  trip overseas. There are a lot of places I searched for to pin that the app  didn't find. It's search feature could use a lot of improvement. But the  deal breaker for me was found when I tried texting the offline navigation  in my home city the other day. I searched a location on the other side of  the city. The app only offered me one option for a route and, as a local,  it's not one that I would ever take - neither fastest nor shortest  distance. I started out on the route anyway and then purposefully deviated,  waiting to see how it would handle the route change. The answer is not  well. It directed me to turn around for the next several minutes even  though I was headed towards a major freeway, which was closer. If I'm using  this overseas and a road is closed for whatever reason, this app is never  going to help me get around the detour. Im going to have to figure it out  myself. Even after I got on the freeway, navigation continued to try to  route me off at the next several exits, which would have been way out of  the way. I'm super disappointed. Will definitely be trying another app  instead.",,,,,,,,
24,"Effectively useless for cycle routing. I downloaded this to get cycle routing which Google maps doesn't offer in Central America. Maps.Me does do cycle routing but it's effectively useless. First, it only offers you one route to your destination, so if you were thinking about taking another road, too bad, maps.me will not show you how long that road might be. You only get the one suggestion and no others, and no way to make it give you other options.  Second, there's clearly a compulsion by the app to avoid anything it thinks is a highway at all costs. So you end up with totally bizarre and out of the way routes when there's a direct road from you to your destination. This avoidance of highways would be ok if you were given more than one route to choose from, or you could turn off the 'avoid highways' preference. Unfortunately this is not possible. All of this might be fine in the US or Western Europe, but in Mexico and Central America if a road doesn't have a number (and is nominally a highway) it probably isn't paved. So avoiding anything with a number is basically going to be sending you along a lot of dirt roads. The app is also then also avoiding lots of rural highways, totally quiet, beautiful, no traffic, two lane roads.   Finally, they made a big deal with an update that made the app display an elevation profile for cycle routes too. This is a big deal for cyclists, as it's important to know the hills you have in front of you (or at least on the one route the app wants you to take). Sadly, this elevation profile is effectively useless too. The profile had nothing on it to show scale, so you have no idea how high the individual peaks are. There is one number given next to an up/down arrow symbol which I think must be net gain??? Or maybe it's total gain??  I really have no idea. And honestly, if you're going to give me one number, give me the highest altitude I'll reach on that route. From there I can guestimate the other climbs.  Maybe the app is ideal for driving. Maybe it works better for cyclists in cities. I don't know. I do know that it's pretty useless for me, except in the rare circumstances that the app and I are in agreement about which road to take.",,,,,,,,
25,"This app used to be perfect and previously helped me navigate around the world, but after updates these last few months, the app will no longer work offline. Unless I am connected to wifi, the app hangs on the preloading screen logo. Consequently, the app is now useless to me. If I wanted an app that required data and pressured me to to turn on location services, I would use Google Maps. This is disappointing because this used to be my go-to app.",,,,,,,,
26,"Ugh. Every 'update' frustrates me to no end. I have things working as they should... then an update like the latest wrecks everything.  Content in limbo. Endless upload errors. Takes forever to post. And... ugh... what happened to my custom image resize controll'? Once upon a time this app worked beautifully and did what it should... you see... people posting from their phones are ON THE GO! I just want to post quickly with no hassle- the control needed but not clutter. Many times its mobile data, in a remote location. The app used to be lean and mean and do the job perfectly. Now its like it's a mini desktop app that's bogged down with junk. What used to take seconds... select some pics on phone ... share to WP app... add text hit upload and DONE... is now futz with this and that ... fight the awful quirks ...hit post and wait wait wait...error. error.  Wrangle things back to where they work again....then get blitzed by the next update",,,,,,,,
27,"Error when uploading imagen to post The media item could not be retrieved. Error when uploading imagen to post.WordPress Android version: 4.5.2 Android device name: LGE Nexus 5  01 - Configuring Simperium 02 - Already registered for GCM 03 - resetting suggestion tables 04 - reader post list &gt; restoring instance state 05 - reader post list &gt; creating post adapter 06 - reader post list &gt; purging database 07 - reader post list &gt; updating current user 08 - reader post list &gt; updating tags and blogs 09 - trackLastActivity, activityId: My Site 10 -",,,,,,,,
28,"App is so-so, value comes from the maps The application has a very limited feature set - basically the only thing that works (well) is showing the zero-cost OSM material. The app renders OK and quickly, but that is already all there is. Quite frankly, other apps based on the skobbler engine draw nicely and very smoothly. In many cases the offline cache of Google Maps is good enough (Japan) and in other areas Google Maps data can actually be downloaded explicitly for a defined region. There is massive room for improvement here.  [Adressing the response to the review: It is not that features are ""bad"". It is the lack of features which I am a bit unhappy about. Combine the (OSM data-driven) features of ""Locus Map"", ""GPS Navigation & Maps"" and ""MapFactor: GPS Navigation"" with the existing feature set and get a very nice app. Aggregate *more* data, make the OSM data more accessible, see for instance the email conversation we had three months ago. Just as an example - the Triposo applications have offline maps based on the (very nice) Skobbler engine. The data they aggregate is all crowd-sourced (i.e. of variable quality), but this app adds a tad bit more offline value.]",,,,,,,,
29,"Used to be a nice app but it seems it is getting worse as time passes. The  latest is that is impossible to sync/transfer your bookmarks. The help is  outdated giving you wrong indications, making you loose a lot of time. They  say that your bookmarks are in a folder on SD card. No folder and no  bookmarks there. They say you should sign in to backup your bookmarks in a  safe place, but you can tap all day long on the sign in button, nothing  happens... But they also say that if you by miracle manage to sign in,  those bookmarks will not be available on other devices. May be they all  have the same phone from 6-7 years ago and never had to transfer their  bookmarks... They say you can share bookmarks with your friends. I've  shared one of my many lists via Wi-Fi direct between my devices, but it's  archived and there is no option to import. Now you have to download another  app to extract that archive but still no way to import them... Awful waste  of time...",,,,,,,,
30,"Too many bugs Ecoing another user, the maps themselves are nice after they finally download. Love that I can view them offline and save data usage. Not much else appeals to me. The search results are odd and difficult to interpret. Voice commands never seem to work. Once address is inputed, the route doesn't appear. You sit there showing current location only. I can't get miles to work as the setting defaults back to kilometers every time. Fix the bugs, I love this app. As it is, it's only good for offline map viewing.",,,,,,,,
31,"I'd pay good money for a WP mobile editor that actually worked.  This is so broken for image controls (legacy doesn't resize at all, acts like it does... visual eats images and never works.  Beta.. works but for some DUMB reason has stupid 'random!!!' image resize options. Arrgh! ) so now my workflow on mobile is to use this pile of steaming ... to upload images in the broken beta editor... RANDOM resize the images close enough, publish the post but delete it, then log into the browser editor and resize the images correctly in the library then insert into a new post. Broken but at least (FOR NOW UNTIL ITS WRECKED AGAIN) I have a work around.",,,,,,,,
32,"Too much for too little. I have several sites that run WordPress and finally getting around to reviewing this WordPress app.   To sum it up, it really isn't all that great. The dashboard within WordPress by default allows galleries and custom posts. All this app does is allows you to write a blog and add a photo or video. There is no setting featured image, adding a gallery and unless you modify the dimensions of the photo you insert, it will maintain the full size. Just log into WordPress via the Web and do your stuff there.",,,,,,,,
33,"The experience of using the app is amazing. I can access my admin version of the site and start publishing or scheduling, or even adding a draft to set up with getting back with my computer. I can even monitor my stats to see what I can make for improvements or data collection. I can make or delete pages anytime I would feel. See notifications etc. What I don't like is the bugs and errors when I want to edit something. Its frustrating and I think it may factor in in messing up my set up.",,,,,,,,
34,"Garbage!! App ever Don't know why a big blogger company like WP, creating such a damn s**** app. Just recently install it today but can't even use it nor logged in. Here's the app bug logs : WordPress Android version: 4.3 Android device name: Xiaomi HM 1SW 01 - resetting suggestion tables 02 - trackLastActivity, activityId: My Site 03 - Number of old stats deleted : 0 04 - NewAccountAbstractOage.onCreate() 05 - trackLastActivity, activityId: Login Screen 06 - GCM Error: INVALID_SENDER 07 - Server response:  08 - NewAccountAbs",,,,,,,,
35,"I was a bit lost on a tropical island's hill. Used it to find the right path back. Recent version seemed to be acting perversely, sending one to slip road to exit motorway only to rejoin it. Also no option for using motorway if available. Not good. Also it would be useful to be able to have waypoints and preferred routes and types of roads to avoid. Updated version now doesn't bring up saved favourites when planning route when tapping on To button. Another feature absent is any indication of the name of the road you are on, or, often, the junction numbers on motorways. The maps do not always show road names as well, or if they show up, the names will vanish when you zoom.",,,,,,,,
36,"Blatant internal storage hog.  Each time the app is updated, it decides to fill up the internal phone storage, rather than the the SD card. And following an app update, you then MUST re-download ALL previously downloaded apps, and again, fill up the phone storage not the SD.  At over half a Gigabyte of app and mapping data, this app is just blatantly greedy, and the developers are either too lazy or too incompetent to design an app appropriately to store directly on exterior SD card storage. ----------- WHY do I have to download maps again following app update?  EDIT: why also the need to automatically start up at boot?  This app is getting very tiresome to use - weekly updates, repeatedly having to download all previous map files after every app update, frequent nag screens.  Just develop a simple app - which works properly, doesn't nag its users, and doesn't gobble up huge amounts of data!",,,,,,,,
37,"Love it with a few hicups Good app but has a few issues... 1: When updating the app I loose all my downloaded maps, why not have the app download them for me or perform an update on them. 2: After an update I loose my customised locations. 3: I want to be able to find my destination using coordinates not just names of places... 4. It seems to give prescidence to highways even if they a longer route, this isnt a good algorithm... Otherwise its a good app... I love it and use it daily.",,,,,,,,
38,"Has some UI usability issues. While doing a search on a street, it's very unresponsive when I press on the street that has already come up in the search results.  Also, no way to enter a street number. Which seems pretty basic and shocking that it doesn't allow user to specify a street number!   Disappointing. I just spent 20 minutes trying to enter in the address of a location.   Suggest you hire some UI designers and product managers to do a better job redesigning this app, to be user friendly and make it easy for users to do simple things, like actually entering in an address!  In response to Developer's ""fixing"" the 2 missing EXAMPLE addresses I listed, that's like a drop  in the ocean. The problem is NOT simply that it couldn't locate the 2 EXAMPLE addresses I listed. The problem is deeper. It was unable to properly locate an arbitrary, VALID, address. This is something Google Maps can do EASILY.   Based on this rather GLARING defect, I think this largely makes this app unusable for general purpose navigation..",,,,,,,,
39,The ads have become very intrusive. An important part of the screen has the ad and it is difficult to select a map function without hitting the ad. It isn't worth it anymore.  Trip planning is an exercise in patience.It is repeatedly suggested that I download my current location not the country map I am trying to work with for a vacation.  Everything is a charge! The UI is not very intuitive and trying to select a route between 2 bookmarked locations - well - I still haven't figured that out!  Really - Google Editor Choice? Methinks not!,,,,,,,,
40,"Great potential but needs bug fixes Of course, I like the idea of having an off-line map. I downloaded a few of them. They seem fairly accurate, easy to read and have a lot of very useful details by default without decreasing the readability. So from that point of view I would give at least 4 stars. Now it keeps freezing on me if I touch any of the controls Search, Download Maps (I can download only by using the map itself), Settings at the bottom of the screen. Also some details (such as shops and bus stops are missing) and at least in one case a bus stop would show only at a specific scale. So I am only giving 3 stars right now but there is a great potential for an excellent app... PS. And I also like the fact they try to answer most of the reviewers when appropriate!",,,,,,,,
41,"Garbage I just wrote a whole article, the button for inserting images did not respond. If I touched the outside of the text box, I couldn't scroll back down to continue my article, no scroll bar for text box. When I went to preview the article, it appeared as if it had posted it instead. So I pressed the back button to get back and edit, suddenly there was my home screen. I went back to the app and everything was gone",,,,,,,,
42,"Ever since the block editor was introduced, editing images and aligning it the way I want it to be is tough on my phone and I have to rely on my laptop for it. There's a particular layout I prefer and despite whatever tweaking I do, when the post is published, things aren't aesthetically how I want them to be. Earlier I had the freedom to just type stuff out and add images and publish it. Of course less options existed for formatting&alignment. The app is still quite user-friendly though.",,,,,,,,
43,"What's the point? I can log into my site much faster directly through the web than I can with the app. It's difficult to edit anything as the screen jumps around when you try to scroll. If there's a WYSIWYG editor I couldn't find it. It added formatting to a post I had started on my computer, which is funny because in the preview all the formatting is stripped. I'll stick with working directly via the web thank you.",,,,,,,,
44,"MALWARE APP!!!: IT SENDS YOU VIRUSES AND SPAMWARE Y 30 DIFFERENTE LANGUAGES, THE ANTIVIRUS DETECTS IT AS MALWARE, STAY AWAY!!! REPORTED !!!  I do not want popups asking me if I have thought about where I am going this weekend. Deleting it now. Remove this idiotic nonsense and I will reinstall and re-rate it.  also: CRASHES CONSTANTLY WHEN GOING TO SETTINGS. no audio instructions for turn by turn navigation? offline search is poor. download of maps extremely slow. Markers on map should be ordered by nearest to my location, etc. Markers search is poor, they re all scrambled.",,,,,,,,
