0,Cannot edit app.
1,Just sucks.
2,"Supposed to be able to edit, but crashes each time I hit the edit button."
3,Really sucks when you are out and about and have to write everything down on paper and wait until you get back to the office.
4,Sucks again.
5,Need some sort of an update for this app.
6,(Android)  Got an email from Evernote:  1.
7,Open Evernote 2.
8,Tap on the three dots in the upper right corner.
9,3.
10,"Click on ""Settings,"" ""Support,"" ""Send Activity Logs."""
11,"Did that, except in Settings, there was no ""Support"" button, thus, no ""Send Activity Log""  And, here I am paying for the ""Premium"" feature of Evernote."
12,"So, looking for an alternative with ""support"" I downloaded Microsoft One Note."
13,"Don't like it as much, but it is new and at least I can edit the app information."
14,"And, they have constant updates."
15,"So, guess what?"
16,I am slowly but surely transitioning from Evernote over to One Note.
17,"Well, there doesn't seem to be an additional review so I will add to this one."
18,"First, I praise Evernote for their PC version of this program."
19,"Having said that, the tablet version of Evernote is a very poor excuse of an attempt to create something that works."
20,You can read the info that you have stored but that is about it.
21,"I have found another program that works, and works well."
22,"So after having written this note, I am forthwith deleting the Tablet version of Evernote from this tablet."
23,This goes with an admonition to read all the review of this app program prior to downloading it to your phone or tablet.
24,PS:  There is absolutely no credible support from Evernote for this app.
25,"One step forwards, two steps backwards (UPDATE#2)   Material design is in the right direction, BUT The overlap text bug that was fixed in the previous version IS BACK."
26,"Also, the formatting bar is taking more space on a tablet, when it used to share the space with the top bar."
27,"Still waiting for ability to add tables, change fonts and colours."
28,"(UPDATE#1)  Another bug unfortunately is when I paste an image from Chrome, only a small pink box appears."
29,"When I save the note, I can see the image fine, but now I am unable to edit the note properly because it tells me that the ""format is not supported""."
30,Please help!
31,PS.
32,"Saving the image on the device, and then attaching it to Evernote is fine, but is so much less efficient."
33,Change also the text search highlight colour from yellow to something else because it is easily confused with the normal text highlighter!
34,"(It is orange on iOS, making it even more confusing!)"
35,This app is so bright it hurts.
36,"You're trying to read, write and relax, but the blank color scheme reminds me more of the sun hitting my face at 6am than of me relaxing while browsing."
37,"This app doesn't have some sort of front page like imgur has for example, instead all we get is the ""discover"" feature which only promotes bland, vague and uninteresting posts with no personality."
38,Just look at it right now!
39,"Where are the people sharing relatable stories, or video game strategies, or book or tv show reviews or something?"
