1,"This app is so bright it hurts. You're trying to read, write and relax, but the blank color scheme reminds me more of the sun hitting my face at 6am than of me relaxing while browsing.  This app doesn't have some sort of front page like imgur has for example, instead all we get is the ""discover"" feature which only promotes bland, vague and uninteresting posts with no personality. Just look at it right now! Where are the people sharing relatable stories, or video game strategies, or book or tv show reviews or something? All the posts featured there are just... unattractive, to say the least. And it's the only source of new content there is, otherwise you have to look it up manually.  There are no set categories or tags, instead you make them up and unless people type them up exactly like you did they won't see your post, which is counterintuitive and discourages finding new posts or bloggers.  People can disapprove or even edit your comments. That is twisted, discourages freedom of speech and opinion sharing and even allows people to literally put words in your mouth by changing your original comment to whatever they want.  You can't dislike posts or comments, so the voting system is pointless. You might think otherwise because Twitter and Vine have no downvotes,  but they promote discovery of new content in various ways, while WordPress does not.  The search bar doesn't work. I've tried finding my own posts with the exact same title they have and they don't appear.  All of these factors make it feel deserted and lacking of a community, and discourage new users of getting into writing or reading on WordPress. Also there used to be a eay to add a black outline to images; a necessity when the background is white.",,
2,"Problems, Problems, Problems! ------------ First when I installed the app & got some maps, they would disappear from the phone after each re-boot. So, I wrote to the developer. No reply after a month, I wrote back. No reply after two weeks. ------------- Next I uninstalled & re-installed the app (for the 12th time trying to fix the vanishing maps problem). Now the place in Settings to tell the app where to store the maps is gone. Gone! (The SD is 32 GB and has 31 GB free) I wrote the developer. After a week- no reply. ---------- Uninstall Warning: Each time I uninstalled the app., a large folder (Over 1 GB on mine) was left behind on the phone. One must use a file manager to delete it. --------- I Give Up (Which is too bad because this app is easy to use.) UPDATE- As shown below, the someone from the developer company posted suggestions. I had already tried (multiple times) what is suggested in the links the person posted. I also had already sent e-mails to the address shown. I will try one more time to contact them (because it looks like a fun & easy app). If no luck, I'll have to conclude that my phone and this app just won't play well together. UPDATE- Developer replied to this review and asked me for the name I used to contact them. I won't post my e-mail here. (That's not a comfortable thing to do.) I sent a new e-maill to them. I will update the review & star rating when (if) they reply & tell me how to make this application work.",,
3,"Change the profile pic from the app was successful,new pic applied in WordPress web based,but in the blog owner comment reply list the blog owner gravatar still using the old previous profile pic,I wish there will be select all in Comment menu so user can select all spam comment n delete at once.Why if we change public name it doesnt change all the previous public name in older comments with new one!?the Reader tab have issue it still showing me content from blog site i have unfollow for months!",,
4,"The only use for this app over google is it shows trails and jungle footpaths. After that its 'EFFING USELESS. The pointer spins constantly so you cant tell which way you're facing. It points 180 degrees out and the blue dotted line follows you, ie it can send you back the way you came and not leave your start point blank....so you still think youre going the right way as youre always attached to the dotted line. It should let the pointer move away from the dotted line, then you can see youre off course. If you brush the screen it opens a new dropped pin which then deletes the path you were following. I cant bookmark anything. Theres paths highlighted in red that i didnt add, it constantly directs you to road routes even tho i only want mountain footpaths and have it set to walking. It does work offline for me which is 1 reason not to boot it just yet but its useless to navigate with, i use it just to look for trails. Thankfully im not getting ads cos thailand auto blocks anything that isnt of profit directly to them. You need to disable the info sharing, apparently this app sells info on you 20 times more than other apps",,
5,"Great potential but needs bug fixes Of course, I like the idea of having an off-line map. I downloaded a few of them. They seem fairly accurate, easy to read and have a lot of very useful details by default without decreasing the readability. So from that point of view I would give at least 4 stars. Now it keeps freezing on me if I touch any of the controls Search, Download Maps (I can download only by using the map itself), Settings at the bottom of the screen. Also some details (such as shops and bus stops are missing) and at least in one case a bus stop would show only at a specific scale. So I am only giving 3 stars right now but there is a great potential for an excellent app... PS. And I also like the fact they try to answer most of the reviewers when appropriate!",,
6,"Adds have been added in one of the never versions, don't update if you haven't already! It's a good app, but it's NOT a universal map. It works best if you find your destination address with a browser, as the names in OSM don't always match. Due to size limits, searching by street numbers is not possible and this severely limits your options. The app goes nuts if your GPS is broken, and you can't just follow the route by moving the map with fingers, as popups keep reappearing. Maps.me is best if you just move to points you know in advance, using the best in class bookmark system",,
7,"Routes are unstable. While following proposed route I was requested to turn back and follow a new route.  Missing ""do not download"" option in map diwnload dialog window. Unable to configure localisation of the map directory. Menu bar disappears at random? Navigation proposes routes violating the law and mistakes public roads with field roads.  After update navigation is much worse. No perspective view despite it is enabled in settings. Calculating a route is slow, arrival estimation changed from optimistic (below 4h) to pessimistic (over 8h) for a route Krapkowice-Warszawa (Poland, realistic estimate ca 5h). Rerouting freezes very often.  Figured out how to enable perspective view. I had to disable it, close the app, reopen the app and enable it. I fear of other bugs.",,
8,"Good idea in theory but the interface is way too ham-handed. If I try to set multiple reminders for a task, it seems like it would allow it, but then it discards the second reminder time and only saves the first one. Moving tasks up and down the list doesn't work properly (lags and jitters). Tapping refresh puts them back in their original order making re-sequencing them pointless. Which brings me to another point: refresh has to be tapped constantly to see changes that you make. I created a habit and it seemingly disappeared right after hitting save and wouldn't appear until I refreshed. Also, how do I hear the theme song? I can change it in the settings but tapping each option simply changes which one is active. How am I supposed to know which theme I want if I can't preview it? Another problem is the tutorial: tapping the menu items at the bottom didn't always activate each sections tutorial. For example, I tapped on To-do and created some items, then went to Rewards, saw that tutorial, went back to To-do, and then the app decided to display the tutorial for To-do. Making tasks, habits and goals like an RPG is a great idea. But honestly, I think most people would get frustrated at this clunky interface and just give up after 5 or 10 minutes like I did.",,
9,"I was a bit lost on a tropical island's hill. Used it to find the right path back. Recent version seemed to be acting perversely, sending one to slip road to exit motorway only to rejoin it. Also no option for using motorway if available. Not good. Also it would be useful to be able to have waypoints and preferred routes and types of roads to avoid. Updated version now doesn't bring up saved favourites when planning route when tapping on To button. Another feature absent is any indication of the name of the road you are on, or, often, the junction numbers on motorways. The maps do not always show road names as well, or if they show up, the names will vanish when you zoom.",,
10,"Has some UI usability issues. While doing a search on a street, it's very unresponsive when I press on the street that has already come up in the search results.  Also, no way to enter a street number. Which seems pretty basic and shocking that it doesn't allow user to specify a street number!   Disappointing. I just spent 20 minutes trying to enter in the address of a location.   Suggest you hire some UI designers and product managers to do a better job redesigning this app, to be user friendly and make it easy for users to do simple things, like actually entering in an address!  In response to Developer's ""fixing"" the 2 missing EXAMPLE addresses I listed, that's like a drop  in the ocean. The problem is NOT simply that it couldn't locate the 2 EXAMPLE addresses I listed. The problem is deeper. It was unable to properly locate an arbitrary, VALID, address. This is something Google Maps can do EASILY.   Based on this rather GLARING defect, I think this largely makes this app unusable for general purpose navigation..",,
11,"Samsung Tab 7,0 This review was done after using the app to leave Atlanta airport. **I do not recommend a buy on this app' but stick with the free version as the  major difference is the ability to search on this one, but it is not good and you essentially have the same features on both, free & Pro, with out it.  MapWithMe Pro has a nice mapping interface it works great on my 7.0, but *The app doesn't do navigation or street address search but merely shows you as a dot on a map which is the same as the free version. *The search feature add to the Pro version is very limited: not worth the money. * The Samsung 7.0 comes with, Latitude, for free and gives you the ability to download maps for offline uses and work just as good.  What I would like to see is point to point navigation and a more in depth search . If you drive into a GPS black out area a offline mapping system is nice to have limited uses to get you back on track.",,
12,"Offline reading is a huge draw for me but I don't know if it's the android app or what but the gui is completely obtuse. Impossible to get to main menu and read my saved articles, I have scoured everywhere. All I can do is save pages to my lists but not read them. One time when I updated my install it worked but no button returns me to main menu. Pressing back exits the app. Please I've searched what in Christ's name is this?",,
13,"Updated review: I have used this app for half a year, against my better judgement.  I have sent eighteen bug reports to the devs.  Little.  I could easily send another twenty more, but it isn't worth the time.  This is simply the most bugged piece of software I have ever used.  The avatars are hideous.  The only good thing that this app has going for it is the clean user interface, and a clever separation of the to-do list into three sections.  It is missing some pretty basic to-do list functionality.  The game loads slowly, and doesn't work without an internet connection.  Some of the bugs I've experienced: Reminders pop up on random days, no matter how many times I readjust their settings. Constantly having trouble connecting to the servers. Visual bugs: shows one item, but you get some other item.  Newly equipped main weapon won't show on avatar until app restarted. Progress bars for quests spaz out every time you open the page. Keyboards won't go away once they pop up. And the list goes on and on...",,
14,"Poor! Almost not adapted for a touch device! - UI very unresponsive to clicks, uncertain whether registered! No immediate touch-down response, you just realize that your click was registered as the page refreshes, which may take 1-3 secs, within that time no UI feedback. - Chapters by default hidden (I prefer all chapters of the article open for quick scrolling and visual scanning + a button/action for bringing up an index for jumping. And this index shall remember its position if brought up later on. Having to open all chapters manually (effort) disrupts reading experience. Finger scrolling less mind distraction - Browsing history: Back jumps to top of article, not to last reading position! + Search with autocompletion - but with no abstract. + Switch the current article to other available language - but no setting to only show preferred languages. - No search function for other than the default language (even if you just switched to an article in another language) - No function ""search text within this article"". - No font size in/de-crease. - No special image functions (show fullscreen, then zoom in/out, save to)  Summary: Look for the competitor Wikipanion on iOS to see a real good mobile Wikipedia client!",,
15,"Effectively useless for cycle routing. I downloaded this to get cycle routing which Google maps doesn't offer in Central America. Maps.Me does do cycle routing but it's effectively useless. First, it only offers you one route to your destination, so if you were thinking about taking another road, too bad, maps.me will not show you how long that road might be. You only get the one suggestion and no others, and no way to make it give you other options.  Second, there's clearly a compulsion by the app to avoid anything it thinks is a highway at all costs. So you end up with totally bizarre and out of the way routes when there's a direct road from you to your destination. This avoidance of highways would be ok if you were given more than one route to choose from, or you could turn off the 'avoid highways' preference. Unfortunately this is not possible. All of this might be fine in the US or Western Europe, but in Mexico and Central America if a road doesn't have a number (and is nominally a highway) it probably isn't paved. So avoiding anything with a number is basically going to be sending you along a lot of dirt roads. The app is also then also avoiding lots of rural highways, totally quiet, beautiful, no traffic, two lane roads.   Finally, they made a big deal with an update that made the app display an elevation profile for cycle routes too. This is a big deal for cyclists, as it's important to know the hills you have in front of you (or at least on the one route the app wants you to take). Sadly, this elevation profile is effectively useless too. The profile had nothing on it to show scale, so you have no idea how high the individual peaks are. There is one number given next to an up/down arrow symbol which I think must be net gain??? Or maybe it's total gain??  I really have no idea. And honestly, if you're going to give me one number, give me the highest altitude I'll reach on that route. From there I can guestimate the other climbs.  Maybe the app is ideal for driving. Maybe it works better for cyclists in cities. I don't know. I do know that it's pretty useless for me, except in the rare circumstances that the app and I are in agreement about which road to take.",,
16,"Voice guidance is awful: says keep right/left where I have to go straight, doesn't say exit numbers, doesn't say street names. Search is poor: shows the list, but how do I check these places on the map. I click the place and it shows my current location with the option to route to, but sometimes it shows the destination, go figure! No alternative routes, not optimal route, it can give the route which includes traffic lights, a couple of left turns instead of short residential road and right turn",,
